year,temperature,rainfall,mosquitos
0,1960,82,200,180
1,1961,70,227,194
2,1962,89,231,207
3,1963,74,114,121
4,1964,78,147,140
5,1965,85,151,148
6,1966,86,172,162
7,1967,75,106,112
8,1968,70,276,230
9,1969,86,165,162
10,1970,83,222,198
11,1971,78,297,247
12,1972,87,288,248
13,1973,76,286,239
14,1974,86,231,202
15,1975,90,284,243
16,1976,76,190,175
17,1977,87,257,225
18,1978,88,128,133
19,1979,87,218,199
20,1980,81,206,184
21,1981,74,175,160
22,1982,85,202,187
23,1983,71,130,126
24,1984,80,225,200
25,1985,72,196,173
26,1986,76,261,222
27,1987,85,111,121
28,1988,83,247,210
29,1989,86,137,142
30,1990,82,159,152
31,1991,77,172,160
32,1992,74,280,231
33,1993,70,291,238
34,1994,77,126,125
35,1995,89,191,178
36,1996,83,298,248
37,1997,80,282,237
38,1998,86,219,195
39,1999,72,143,134
40,2000,79,262,221
41,2001,85,189,175
42,2002,86,205,186
43,2003,72,195,173
44,2004,78,148,146
45,2005,71,262,219
46,2006,88,255,226
47,2007,79,262,221
48,2008,73,198,176
49,2009,86,215,187
50,2010,87,127,129
